Sechage capteurs le 26/06/2026
temps_ms,CapteurBrut1,CapteurBrut2,Reference45K,CapteurFiltre1,CapteurFiltre2,Reference45KFiltre
187303651,37002.03,45675.98,474529.28,36289.26,44122.19,475198.93
187921753,37196.50,46089.71,475391.43,36470.71,44515.69,475237.43
188539854,37343.83,46490.70,475046.84,36645.33,44910.70,475199.34
189157956,37543.92,46938.17,475327.53,36825.05,46938.17,475224.96
189776059,37711.00,47341.67,475142.15,37002.25,47018.88,475208.40
190394164,37892.61,47747.08,475105.18,37180.32,47164.52,475187.75
191012265,38092.16,48159.77,475233.31,37362.69,47363.58,475196.87
191630368,38246.49,48634.25,474823.46,37539.45,47617.71,475122.18
192248471,38451.33,49044.51,475665.31,37721.83,47903.07,475230.81
192866574,38636.44,49486.22,475727.03,37904.75,48219.70,475330.06
193484675,38828.76,49950.64,475167.84,38089.55,48565.89,475297.62
194102775,39007.73,50353.70,475138.31,38273.19,48923.45,475265.75
194720878,39190.23,50877.71,475394.81,38456.60,49314.30,475291.56
195338984,39379.58,51286.09,475292.37,38641.19,49708.66,475291.71
195957085,39535.83,51772.60,475330.12,38820.12,51772.60,475299.40
196575186,39721.56,52210.36,475362.12,39000.41,51860.16,475311.96
197193289,39955.39,52656.62,475333.62,39191.41,52019.45,475316.31
197811392,40126.12,53076.93,476066.71,39378.35,52230.94,475466.40
198429493,40300.23,53521.58,475681.62,39562.72,52489.07,475509.43
199047593,40507.75,53984.73,475110.81,39751.73,52788.21,475429.71
199665695,40734.65,54432.82,475281.00,39948.31,53117.13,475400.00
200283800,40917.00,54891.33,475776.40,40142.05,53471.97,475475.28
200901903,41165.66,55266.80,475616.15,40346.77,53830.94,475503.43
201520004,41348.25,55699.51,474727.84,40547.07,54204.65,475348.31
202138104,41555.20,56116.28,474698.81,40748.69,54586.98,475218.43
202756206,41774.37,56510.02,475357.28,40953.83,54971.59,475246.21
203374309,42025.82,56924.78,475952.56,41168.23,55362.23,475387.50
203992410,42197.41,57335.48,475143.87,41374.07,55756.88,475338.78
204610513,42448.02,57745.70,475570.00,41588.86,56154.65,475385.03
205228615,42654.77,58093.89,475461.40,41802.05,56542.50,475400.31
205846718,42861.98,58501.44,475007.18,42014.03,56934.28,475321.68
206464819,43109.40,58851.25,475205.03,42233.10,57317.68,475298.34
207082920,43315.20,59294.30,475731.12,42449.52,57713.01,475384.90
207701023,43580.36,59642.41,475490.15,42675.69,58098.89,475405.96
208319126,43832.70,60020.67,475959.68,42907.10,58483.25,475516.71
208937228,44051.16,60454.32,475902.53,43135.91,58877.47,475593.87
209555333,44284.12,60812.09,475043.25,43365.55,59264.39,475483.75
210173433,44516.85,61156.80,475606.53,43595.82,59642.87,475508.31
210791536,44734.39,61514.36,475186.25,43823.53,60017.17,475443.90
211409638,45038.70,62094.51,475667.87,44066.56,62094.51,475488.68
212027740,45307.25,62554.69,475830.84,44314.70,62186.55,475557.12
212645840,45578.69,63028.10,475535.46,44567.50,62354.86,475552.81
213263943,45883.20,63397.28,475803.90,44830.64,62563.34,475603.03
213882045,46108.19,63809.82,476029.62,45086.15,62812.64,475688.37
214500150,46326.98,64200.41,476078.90,45334.32,63090.19,475766.50
215118251,46559.38,64629.40,475491.68,45579.33,63398.03,475711.56
215736352,46817.33,64977.60,475181.84,45826.93,63713.95,475605.62
216354534,47018.61,65340.88,476085.84,46065.27,64039.33,475701.68
216972635,47317.81,65694.00,475394.12,46315.78,64370.26,475640.18
217590736,47488.91,66015.28,476002.37,46550.40,64699.27,475712.62
218208838,47723.13,66386.86,475712.59,46784.95,65036.79,475712.62
218826944,47942.24,66685.72,475427.71,47016.41,65366.58,475655.62
219445045,48101.98,67054.19,474721.43,47233.52,65704.10,475468.78
220063145,48300.36,67370.16,474847.62,47446.89,66037.32,475344.56
220681248,48521.62,67697.95,475341.03,47661.83,66369.44,475343.87
221299351,48758.80,67939.02,475950.25,47881.23,66683.35,475465.15
221917454,48898.33,68272.30,475381.59,48084.65,67001.14,475448.43
222535555,49119.17,68577.03,475752.18,48291.56,67316.32,475509.18
223153656,49279.58,68929.88,475394.12,48489.16,67639.03,475486.18
223771761,49507.51,69212.42,475949.31,48692.83,67953.71,475578.84
224389863,49679.36,69593.46,476419.37,48890.14,68281.66,475746.96
225007964,49916.23,69864.78,475044.09,49095.36,68598.28,475606.40
225626064,50089.96,70234.19,475557.87,49294.28,68925.46,475596.68
226244166,50262.17,70555.58,475423.40,49487.86,69251.49,475562.03
226862268,50469.84,70900.75,475576.56,49684.26,69581.34,475564.93
227480369,50693.05,71172.39,475848.25,49886.01,69899.55,475621.62
228098472,50906.66,71632.53,475394.71,50090.14,70246.14,475576.25
228716574,51078.32,71881.71,475045.71,50287.78,70573.26,475470.15
229334676,51336.16,72224.82,474955.43,50497.46,70903.57,475367.21
229952778,51514.59,72535.78,475946.12,50700.89,71230.02,475483.00
230570877,51696.29,72877.91,475786.18,50899.97,71559.60,475543.65
231188979,51867.73,73224.96,475370.46,51093.52,71892.67,475509.03
231807081,52121.21,73465.65,475447.56,51299.06,72207.27,475496.75
232425183,52303.35,73827.35,475662.75,51499.92,72531.28,475529.96
233043287,52536.57,74160.59,475127.53,51707.25,72857.14,475449.46
233661389,52718.46,74448.46,475260.90,51909.49,73175.41,475411.78
234279492,52916.89,74535.89,474917.71,52110.97,73447.50,475313.00
18698,44252.82,61620.84,475589.12,44252.82,61620.84,475589.12
18724,44399.78,61642.06,475911.62,44399.78,61642.06,475911.62
636826,53623.25,76511.89,476017.75,53623.25,76511.89,475932.87
1254928,54187.20,77256.83,476167.71,53736.05,76660.88,475979.87
1873029,54553.13,77780.35,476048.18,53899.46,76884.77,475993.56
2491133,54642.10,77833.01,476268.15,54048.00,77074.42,476048.46
3109234,54851.63,78213.64,475754.81,54208.73,77302.26,475989.75
3727336,55015.60,78327.89,475940.00,54370.10,77507.39,475979.81
4345437,55018.12,78315.89,475783.68,54499.71,77669.10,475940.59
4963537,54934.17,78026.80,475781.59,54586.60,77740.64,475908.78
5581639,54697.15,77556.57,475694.87,54608.71,77703.83,475866.00
6199741,54380.34,77117.64,475397.43,54563.04,77586.60,475772.31
6817842,54281.23,76850.01,475718.68,54506.68,77439.28,475761.59
7435945,54154.49,76138.81,475915.40,54436.24,77179.19,475792.37
8054047,54040.33,76187.32,476012.81,54357.06,76980.82,475836.46
